h2o	C00001
C06328	C06328
C01327	C01327
G10616	G10616
G00023	G00023
G10621	G10621
G00035	G00035
G10610	G10610
G00023	G00023
G10619	G10619
G00031	G00031
G10616	G10616
G00024	G00024
G10621	G10621
G00026	G00026
C06547	C06547
o2	C00007
nadh	C00004
h	C00080
C06548	C06548
nad	C00003
h2o	C00001
G10610	G10610
G00028	G00028
G10619	G10619
G00029	G00029
G10616	G10616
G00026	G00026
G10621	G10621
G00027	G00027
G00143	G00143
h2o	C00001
G00144	G00144
ac	C00033
G10610	G10610
C01194	C01194
G10619	G10619
G00143	G00143
C05668	C05668
ppi	C00013
amp	C00020
C01013	C01013
coa	C00010
atp	C00002
atp	C00002
C04856	C04856
adp	C00008
pi	C00009
nadh	C00004
C07096	C07096
o2	C00007
nadh	C00004
h	C00080
C07097	C07097
nad	C00003
h2o	C00001
C16362	C16362
h2o	C00001
C16364	C16364
C16363	C16363
glx	C00048
C00989	C00989
nadp	C00006
sucsal	C00232
h	C00080
tdeACP	C05761
lipidA	C04932
kdo2lipid4p	C20933
nadph	C00005
succoa	C00091
nadph	C00005
h	C00080
sucsal	C00232
nadp	C00006
coa	C00010
C05284	C05284
nadp	C00006
C05285	C05285
nadph	C00005
h	C00080
C05290	C05290
C03024	C03024
o2	C00007
C05297	C05297
C03161	C03161
h2o	C00001
C02133	C02133
C00159	C00159
C00060	C00060
man6p	C00275
C05270	C05270
fad	C00016
C05271	C05271
fadh2	C01352
C05274	C05274
nadp	C00006
C05275	C05275
nadph	C00005
h	C00080
C05274	C05274
fad	C00016
C05275	C05275
fadh2	C01352
3hpppn	C11457
hkntd	C12624
3dgulnp	C14899
C15610	C15610
C10826	C10826
C02133	C02133
fru	C00095
C00060	C00060
f6p	C00085
C05280	C05280
C05279	C05279
C02133	C02133
fru	C00095
C00060	C00060
f1p	C01094
C04093	C04093
ipdp	C00129
C16689	C16689
ppi	C00013
C06028	C06028
C18323	C18323
C06090	C06090
C09189	C09189
C06322	C06322
C09811	C09811
C05941	C05941
C00433	C00433
nh4	C00014
grdp	C00341
ipdp	C00129
C04145	C04145
ppi	C00013
C00353	C00353
ipdp	C00129
C04145	C04145
ppi	C00013
C00223	C00223
ptrc	C00134
coa	C00010
C18326	C18326
C11901	C11901
C07601	C07601
tyr-L	C00082
pyr	C00022
34hpp	C01179
ala-L	C00041
C00406	C00406
agm	C00179
coa	C00010
C18325	C18325
C16028	C16028
o2	C00007
nadph	C00005
h	C00080
C20307	C20307
nadp	C00006
h2o	C00001
C02952	C02952
C20271	C20271
malcoa	C00083
C00229	C00229
C12348	C12348
co2	C00011
coa	C00010
C16691	C16691
C11475	C11475
h2o	C00001
ile-L	C00407
o2	C00007
nadph	C00005
h	C00080
C20310	C20310
nadp	C00006
h2o	C00001
C16028	C16028
o2	C00007
nadph	C00005
h	C00080
C20309	C20309
nadp	C00006
h2o	C00001
C20308	C20308
o2	C00007
nadph	C00005
h	C00080
C20309	C20309
nadp	C00006
h2o	C00001
C20307	C20307
o2	C00007
nadph	C00005
h	C00080
C20308	C20308
nadp	C00006
h2o	C00001
3hdeACP	C04619
nadp	C00006
3oxdeACP	C05753
nadph	C00005
3hdeACP	C04619
2tdeACP	C05754
h2o	C00001
3hdeACP	C04619
2tdeACP	C05754
h2o	C00001
